SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
ib18282100653008,10005divyas,784101,09/10/18 06:06,09/10/18 06:06,09/10/18 10:06,6105,1882623404697650,10.45.0.185, ,1,09/10/18 10:06,
au18282101912466,10005amalt,784101,09/10/18 06:19,09/10/18 06:19,09/10/18 10:19,6105,1882518738425040,10.45.0.163, ,1,09/10/18 10:19,
wa18282101929181,10005amalt,784101,09/10/18 06:19,09/10/18 06:19,09/10/18 10:19,6105,1882518738425040,10.45.0.163, ,1,09/10/18 10:19,
yd18282102001842,10005amalt,784101,09/10/18 06:20,09/10/18 06:20,09/10/18 10:20,6105,1882518738425040,10.45.0.163, ,1,09/10/18 10:20,
ik18282102010321,10005amalt,784101,09/10/18 06:20,09/10/18 06:20,09/10/18 10:20,6105,1882518738425040,10.45.0.163, ,1,09/10/18 10:20,
bi18282103314263,10005divyas,784101,09/10/18 06:33,09/10/18 06:33,09/10/18 10:33,6105,1882623404697650,10.45.0.185, ,1,09/10/18 10:33,
fs18282103314582,10005divyas,784101,09/10/18 06:33,09/10/18 06:33,09/10/18 10:33,6105,1882623404697650,10.45.0.185, ,1,09/10/18 10:33,
px18282104607036,10005ajithm,356175,05/10/18 06:46,05/10/18 06:46,05/10/18 12:16,6105,1882332529652460,10.45.0.152, ,1,05/10/18 12:16,
mh18282105130366,10005ajithm,356175,05/10/18 06:51,05/10/18 06:51,05/10/18 12:21,6105,1882332529652460,10.45.0.152, ,1,05/10/18 12:21,
fa18282110239114,10005divyas,784101,09/10/18 07:02,09/10/18 07:02,09/10/18 11:02,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:02,
zp18282111328296,10005divyas,784101,09/10/18 07:13,09/10/18 07:13,09/10/18 11:13,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:13,
yy18282111332646,10005divyas,784101,09/10/18 07:13,09/10/18 07:13,09/10/18 11:13,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:13,
bj18282111417242,10005divyas,784101,09/10/18 07:14,09/10/18 07:14,09/10/18 11:14,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:14,
fg18282111431280,10005divyas,784101,09/10/18 07:14,09/10/18 07:14,09/10/18 11:14,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:14,
bv18282111438530,10005divyas,784101,09/10/18 07:14,09/10/18 07:14,09/10/18 11:14,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:14,
sx18282112443025,10005divyas,784101,09/10/18 07:24,09/10/18 07:24,09/10/18 11:24,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:24,
zr18282112443981,10005divyas,784101,09/10/18 07:24,09/10/18 07:24,09/10/18 11:24,6105,1882623404697650,10.45.0.185, ,1,09/10/18 11:24,
